"datetime","tempf"
2017-08-21 06:00:00,54.9
2017-08-21 06:05:00,54.9
2017-08-21 06:10:00,54.9
2017-08-21 06:15:00,54.9
2017-08-21 06:20:00,54.9
2017-08-21 06:25:00,54.8
2017-08-21 06:30:00,54.7
2017-08-21 06:35:00,54.6
2017-08-21 06:40:00,54.6
2017-08-21 06:45:00,54.5
2017-08-21 06:50:00,54.6
2017-08-21 06:55:00,54.6
2017-08-21 07:00:00,54.9
2017-08-21 07:05:00,54.9
2017-08-21 07:10:00,55
2017-08-21 07:15:00,55.1
2017-08-21 07:20:00,55.4
2017-08-21 07:25:00,55.9
2017-08-21 07:30:00,56.4
2017-08-21 07:35:00,57
2017-08-21 07:40:00,57.7
2017-08-21 07:45:00,58.3
2017-08-21 07:50:00,59.1
2017-08-21 07:55:00,59.7
2017-08-21 08:00:00,60.6
2017-08-21 08:05:00,61.5
2017-08-21 08:10:00,62.4
2017-08-21 08:15:00,63.4
2017-08-21 08:20:00,64.5
2017-08-21 08:25:00,65.5
2017-08-21 08:30:00,66.5
2017-08-21 08:35:00,67.2
2017-08-21 08:40:00,68
2017-08-21 08:45:00,68.6
2017-08-21 08:50:00,69.4
2017-08-21 08:55:00,69.9
2017-08-21 09:00:00,70.4
2017-08-21 09:05:00,70.8
2017-08-21 09:10:00,71.1
2017-08-21 09:15:00,71.3
2017-08-21 09:20:00,71.4
2017-08-21 09:25:00,71.4
2017-08-21 09:30:00,71.3
2017-08-21 09:35:00,71.4
2017-08-21 09:40:00,71.3
2017-08-21 09:45:00,71.1
2017-08-21 09:50:00,70.9
2017-08-21 09:55:00,70.5
2017-08-21 10:00:00,69.9
2017-08-21 10:05:00,69.5
2017-08-21 10:10:00,68.9
2017-08-21 10:15:00,68.3
2017-08-21 10:20:00,67.8
2017-08-21 10:25:00,67
2017-08-21 10:30:00,66.3
2017-08-21 10:35:00,66
2017-08-21 10:40:00,66
2017-08-21 10:45:00,66.2
2017-08-21 10:50:00,66.8
2017-08-21 10:55:00,67.3
2017-08-21 11:00:00,68
2017-08-21 11:05:00,68.5
2017-08-21 11:10:00,69.2
2017-08-21 11:15:00,70
2017-08-21 11:20:00,70.8
2017-08-21 11:25:00,71.7
2017-08-21 11:30:00,72.4
2017-08-21 11:35:00,72.9
2017-08-21 11:40:00,73.5
2017-08-21 11:45:00,73.9
2017-08-21 11:50:00,74.2
2017-08-21 11:55:00,74.4
2017-08-21 12:00:00,74.6
